Время (с),Координата X (м),Координата Y (м),Координата Z (м)
373140.0,-14095310.924177475,20661574.35995614,-8929425.647245206
373200.0,-14156308.353298722,20694341.332106132,-8755486.602763351
373260.0,-14216208.413095262,20726448.04368636,-8580876.688822424
373320.0,-14275013.492031053,20757883.0618845,-8405609.286599025
373380.0,-14332726.141367981,20788635.01420659,-8229697.827608499
373440.0,-14389349.07448266,20818692.59055215,-8053155.792673018
373500.0,-14444885.16615554,20848044.545279864,-7875996.710885828
373560.0,-14499337.451832497,20876679.69926306,-7698234.158571888
373620.0,-14552709.126859682,20904586.941934593,-7519881.758244715
373680.0,-14605003.54569128,20931755.233320873,-7340953.177559802
373740.0,-14656224.221069604,20958173.606065247,-7161462.128264526
373800.0,-14706374.82317952,20983831.167439085,-6981422.365144672
373860.0,-14755459.178775102,21008717.101341814,-6800847.684967569
373920.0,-14803481.270280873,21032820.67028801,-6619751.925422193
373980.0,-14850445.234865721,21056131.21738258,-6438148.964055923
374040.0,-14896355.363491323,21078638.16828265,-6256052.717208419
374100.0,-14941216.099934679,21100331.033146128,-6073477.138942334
374160.0,-14985032.039783992,21121199.40856725,-5890436.219971298
374220.0,-15027807.929410078,21141232.979497425,-5706943.986585027
374280.0,-15069548.664911091,21160421.52115267,-5523014.499571716
374340.0,-15110259.291033242,21178754.90090562,-5338661.853137792
374400.0,-15149945.00006528,21196223.0801634,-5153900.173825077
374460.0,-15188611.130708817,21212816.116229784,-4968743.619425569
374520.0,-15226263.166923983,21228524.16415176,-4783206.377893715
374580.0,-15262906.736750187,21243337.478550527,-4597302.666256525
374640.0,-15298547.61110274,21257246.415436216,-4411046.7295213295
374700.0,-15333191.702545576,21270241.4340059,-4224452.83958156
374760.0,-15366845.06404046,21282313.098424707,-4037535.2941202046
374820.0,-15399513.88767145,21293452.07959039,-3850308.415511756
374880.0,-15431204.503347492,21303649.156879544,-3662786.5497218147
374940.0,-15461923.377480363,21312895.219877027,-3474984.065205222
375000.0,-15491677.111641074,21321181.27008638,-3286915.3518023267
375060.0,-15520472.441192314,21328498.422622778,-3098594.8196337125
375120.0,-15548316.233899273,21334837.90788676,-2910036.897993405
375180.0,-15575215.488518244,21340191.073218994,-2721256.0342405727
375240.0,-15601177.333362559,21344549.384536427,-2532266.692689871
375300.0,-15626209.024847802,21347904.427948046,-2343083.353500662
375360.0,-15650317.946014598,21350247.911351714,-2153720.511564774
375420.0,-15673511.60503119,21351571.666010153,-1964192.6753934913
375480.0,-15695797.633674126,21351867.64810727,-1774514.366003267
375540.0,-15717183.785788907,21351127.94028342,-1584700.1158007027
375600.0,-15737677.935730437,21349344.75314973,-1394764.4674664843
375660.0,-15757288.076782394,21346510.42678183,-1204721.9728388006
375720.0,-15776022.319557972,21342617.43219141,-1014587.1917960431
375780.0,-15793888.89038001,21337658.372776873,-824374.6911386693
375840.0,-15810896.129642762,21331625.985751312,-634099.043471061
375900.0,-15827052.490153803,21324513.143549114,-443774.8260824879
375960.0,-15842366.535458215,21316312.8552093,-253416.61982810032
376020.0,-15856846.938143227,21307018.26773714,-63039.00800961861
376080.0,-15870502.478126079,21296622.667441875,127343.42474428582
376140.0,-15883342.040922746,21285119.48125228,317716.0935973779
376200.0,-15895374.615900166,21272502.278008185,508064.41462550877
376260.0,-15906609.294510966,21258764.769728642,698373.8059358218
376320.0,-15917055.268511198,21243900.812856287,888629.6887860763
376380.0,-15926721.828161402,21227904.409477923,1078817.488703394
376440.0,-15935618.360411724,21210769.70852046,1268922.6366027836
376500.0,-15943754.34707129,21192491.006922435,1458930.5699052205
376560.0,-15951139.362961106,21173062.750781443,1648826.7336549638
376620.0,-15957783.074052481,21152479.536476117,1838596.5816364249
376680.0,-15963695.235590432,21130736.111763164,2028225.5774902839
376740.0,-15968885.690201974,21107827.37684947,2217699.195828591
376800.0,-15973364.365990402,21083748.3854386,2407002.923349327
376860.0,-15977141.27461562,21058494.34575167,2596122.2599495947
376920.0,-15980226.509361044,21032060.621522304,2785042.7198378704
376980.0,-15982630.243186582,21004442.732966073,2973749.8326452407
377040.0,-15984362.726769207,20975636.35772341,3162229.1445351215
377100.0,-15985434.286531001,20945637.33177622,3350466.219311899
377160.0,-15985855.322654475,20914441.650338333,3538446.6395278866
377220.0,-15985636.30708607,20882045.46871926,3726156.007588992
377280.0,-15984787.78152838,20848445.103161067,3913579.946858658
377340.0,-15983320.355421122,20813637.031648252,4100704.1027601785
377400.0,-15981244.703910999,20777617.89469085,4287514.143877282
377460.0,-15978571.565810967,20740384.496080395,4473995.763052709
377520.0,-15975311.741549723,20701933.803618263,4660134.678485014
377580.0,-15971476.091111464,20662262.949816544,4845916.634823332
377640.0,-15967075.531965483,20621369.2325719,5031327.404259882
377700.0,-15962121.036987446,20579250.11581114,5216352.787620524
377760.0,-15956623.632371813,20535903.23010917,5400978.615452795
377820.0,-15950594.395535648,20491326.37327914,5585190.749111776
377880.0,-15944044.453014463,20445517.510934696,5768975.081843385
377940.0,-15936984.978350695,20398474.777023803,5952317.53986521
378000.0,-15929427.189975102,20350196.47433435,6135204.083444782
378060.0,-15921382.349080518,20300681.074972004,6317620.7079749815
378120.0,-15912861.757489838,20249927.220809087,6499553.445046877
378180.0,-15903876.755517762,20197933.723905195,6680988.363519498
378240.0,-15894438.719826516,20144699.56689931,6861911.57058689
378300.0,-15884559.061276197,20090223.90337354,7042309.212841963
378360.0,-15874249.222770346,20034506.058187775,7222167.477337332
378420.0,-15863520.677096989,19977545.527785692,7401472.592642874
378480.0,-15852384.92476476,19919341.980472475,7580210.829900202
378540.0,-15840853.491836093,19859895.25666291,7758368.503873517
378600.0,-15828937.927755913,19799205.36910137,7935931.973997379
378660.0,-15816649.803178212,19737272.50305226,8112887.645420583
378720.0,-15804000.70778891,19674097.016462058,8289221.970046752
378780.0,-15791002.248127032,19609679.44009199,8464921.447571112
378840.0,-15777666.045403767,19544020.477621756,8639972.626513502
378900.0,-15764003.733319778,19477121.00572427,8814362.105247749
378960.0,-15750026.955881111,19408982.074111693,8988076.533026818
379020.0,-15735747.365214689,19339604.905551895,9161102.611004231
379080.0,-15721176.619383322,19268990.89585592,9333427.093251351
379140.0,-15706326.380200036,19197141.61383696,9505036.787770467
379200.0,-15691208.311043344,19124058.8012396,9675918.557503806
379260.0,-15675834.074673042,19049744.372640397,9846059.321337976
379320.0,-15660215.331046931,18974200.41531919,10015446.055104472
379380.0,-15644363.735138755,18897429.18910197,10184065.792575158
379440.0,-15628290.9347585,18819433.126174018,10351905.626453832
379500.0,-15612008.568374705,18740214.8308644,10518952.709362742
379560.0,-15595528.262938848,18659777.079401966,10685194.254824642
379620.0,-15578861.63171356,18578122.819641635,10850617.53824002
379680.0,-15562020.272103172,18495255.170762878,11015209.897859456
379740.0,-15545015.763489064,18411177.42293825,11178958.735751342
379800.0,-15527859.665068023,18325893.036974292,11341851.518764328
379860.0,-15510563.513695743,18239405.643923167,11503875.77948482
379920.0,-15493138.821735118,18151719.04466569,11665019.11718942
379980.0,-15475597.074909419,18062837.209466133,11825269.198792068
380040.0,-15457949.730161197,17972764.277498316,11984613.759786222
380100.0,-15440208.213517169,17881504.556343634,12143040.605181163
380160.0,-15422383.917959705,17789062.521460097,12300537.610433515
380220.0,-15404488.20130425,17695442.81562425,12457092.722372742
380280.0,-15386532.384084579,17600650.24834404,12612693.960121559
380340.0,-15368527.747445233,17504689.79524393,12767329.41601048
380400.0,-15350485.531041542,17407566.597422473,12920987.256486615
380460.0,-15332416.930947913,17309285.960781675,13073655.723017054
380520.0,-15314333.097574703,17209853.35532901,13225323.132985976
380580.0,-15296245.133594247,17109274.41445121,13375977.88058638
380640.0,-15278164.091875304,17007554.934161752,13525608.437705368
380700.0,-15260100.973428177,16904700.87231964,13674203.354803843
380760.0,-15242066.72535875,16800718.34782235,13821751.261789836
380820.0,-15224072.238833757,16695613.639770724,13968240.868885702
380880.0,-15206128.347055944,16589393.186607497,14113660.967489352
380940.0,-15188245.823250696,16482063.585228972,14258000.431028878
381000.0,-15170435.378664117,16373631.590069665,14401248.215811158
381060.0,-15152707.660572419,16264104.112161174,14543393.361863717
381120.0,-15135073.250303496,16153488.218164522,14684424.993770353
381180.0,-15117542.661271073,16041791.12937604,14824332.32150021
381240.0,-15100126.337021701,15929020.220707469,14963104.64123019
381300.0,-15082834.649294212,15815183.019640572,15100731.33616076
381360.0,-15065677.896093216,15700287.205155885,15237201.87732496
381420.0,-15048666.29977622,15584340.606635727,15372505.824390791
381480.0,-15031810.005154626,15467351.20274254,15506632.82645663
381540.0,-15015119.077609092,15349327.120272037,15639572.622839773
381600.0,-14998603.501219962,15230276.632981092,15771315.043858165
381660.0,-14982273.176912643,15110208.160391295,15901850.011604847
381720.0,-14966137.920617945,14989130.266568314,16031167.540715586
381780.0,-14950207.461448913,14867051.658876134,16159257.739129359
381840.0,-14934491.439892715,14743981.186708499,16286110.808841377
381900.0,-14918999.406019868,14619927.840195093,16411717.04664938
381960.0,-14903740.817709135,14494900.748885572,16536066.844892045
382020.0,-14888725.038890004,14368909.180409195,16659150.692180501
382080.0,-14873961.337802341,14241962.539111508,16780959.174122278
382140.0,-14859458.885273343,14114070.364668343,16901482.974037778
382200.0,-14845226.7530124,13985242.330677057,17020712.87366933
382260.0,-14831273.911924217,13855488.243225308,17138639.753882546
382320.0,-14817609.230440475,13724818.03943732,17255254.595360164
382380.0,-14804241.472869799,13593241.785998687,17370548.47928831
382440.0,-14791179.29776704,13460769.677659355,17484512.588034764
382500.0,-14778431.256322,13327412.03571456,17597138.205819886
382560.0,-14766005.790767295,13193179.306465534,17708416.71937924
382620.0,-14753911.232806271,13058082.059658464,17818339.61861886
382680.0,-14742155.802061066,12922130.986903436,17926898.49726213
382740.0,-14730747.604541205,12785336.900072083,18034085.053489137
382800.0,-14719694.631132292,12647710.729676336,18139891.09056765
382860.0,-14709004.756106393,12509263.523225984,18244308.51747635
382920.0,-14698685.735652776,12370006.443567855,18347329.349519808
382980.0,-14688745.206430778,12229950.767204769,18448945.70893526
383040.0,-14679190.684143784,12089107.882596133,18549149.82549142
383100.0,-14670029.562135411,11947489.288439453,18647934.03707887
383160.0,-14661269.110007968,11805106.591933396,18745290.790292263
383220.0,-14652916.472262945,11661971.507022958,18841212.641004175
383280.0,-14644978.666964287,11518095.852626825,18935692.254930593
383340.0,-14637462.584424688,11373491.550846847,19028722.408188127
383400.0,-14630374.985914927,11228170.625160245,19120295.98784264
383460.0,-14623722.502396198,11082145.198595641,19210405.992449462
383520.0,-14617511.63327633,10935427.491891688,19299045.53258503
383580.0,-14611748.745189723,10788029.821639473,19386207.83137012
383640.0,-14606440.07080103,10639964.598409446,19471886.22498428
383700.0,-14601591.70763312,10491244.324862106,19556074.163171884
383760.0,-14597209.616919357,10341881.593843773,19638765.209739223
383820.0,-14593299.622480717,10191889.086466797,19719953.043043155
383880.0,-14589867.40962708,10041279.570175823,19799631.456470873
383940.0,-14586918.524084171,9890065.896798788,19877794.35891094
384000.0,-14584458.37094494,9738261.000584872,19954435.775215495
384060.0,-14582492.213646902,9585877.89622756,20029549.846653692
384120.0,-14581025.172974396,9432929.676875537,20103130.83135612
384180.0,-14580062.226086888,9279429.51212969,20175173.104750514
384240.0,-14579608.205573017,9125390.646027591,20245671.15998833
384300.0,-14579667.798530543,8970826.395015828,20314619.608362526
384360.0,-14580245.545672389,8815750.145910451,20382013.179716155
384420.0,-14581345.840459222,8660175.35384507,20447846.722842168
384480.0,-14582972.928258412,8504115.540208248,20512115.20587392
384540.0,-14585130.905529363,8347584.290569801,20574813.7166668
384600.0,-14587823.719035842,8190595.252596346,20635937.463170562
384660.0,-14591055.165085169,8033162.13395657,20695481.77379266
384720.0,-14594828.888794301,7875298.70021669,20753442.097752366
384780.0,-14599148.383383006,7717018.77272643,20809814.00542566
384840.0,-14604016.989494488,7558336.226495607,20864593.18868099
384900.0,-14609437.894543324,7399264.988061803,20917775.461205717
384960.0,-14615414.132090675,7239819.03335008,20969356.758823294
385020.0,-14621948.581247488,7080012.385523675,21019333.13980126
385080.0,-14629043.966104954,6919859.112828065,21067700.785149828
385140.0,-14636702.855193162,6759373.326426603,21114455.998911105
385200.0,-14644927.66096733,6598569.178229763,21159595.20843914
385260.0,-14653720.63932219,6437460.85871765,21203114.964670423
385320.0,-14663083.889134439,6276062.59475592,21245011.94238505
385380.0,-14673019.351833267,6114388.647406004,21285282.940458573
385440.0,-14683528.810999045,5952453.309729954,21323924.882104244
385500.0,-14694613.891990447,5790270.9045899,21360934.815105986
385560.0,-14706276.061599866,5627855.782442551,21396309.91204179
385620.0,-14718516.627737172,5465222.319129696,21430047.470497716
385680.0,-14731336.739141988,5302384.913664314,21462144.913272325
385740.0,-14744737.385124568,5139357.986012992,21492599.788571704
385800.0,-14758719.395335093,4976155.9748752145,21521409.770194847
385860.0,-14773283.439561559,4812793.335460035,21548572.657709613
385920.0,-14788430.02755649,4649284.537259274,21574086.376619093
385980.0,-14804159.50889213,4485644.061819384,21597948.978518374
386040.0,-14820472.0728444,4321886.400511222,21620158.641241852
386100.0,-14837367.748305608,4158026.0522983097,21640713.669000857
386160.0,-14854846.403725743,3994077.521504334,21659612.492511727
386220.0,-14872907.747082748,3830055.315579489,21676853.669114288
386280.0,-14891551.325881263,3665973.9428672437,21692435.882880732
386340.0,-14910776.5271803,3501847.9103705822,21706357.944714855
386400.0,-14930582.57764966,3337691.7215188392,21718618.79244173
386460.0,-14950968.543654969,3173519.8739355346,21729217.490887675
386520.0,-14971933.331371494,3009346.857207656,21738153.23195064
386580.0,-14993475.686926682,2845187.1506559085,21745425.334660955
386640.0,-15015594.196571397,2681055.2211071956,21751033.245232414
386700.0,-15038287.286879655,2516965.5206701388,21754976.537103735
386760.0,-15061553.224977164,2352932.48451217,21757254.91097033
386820.0,-15085390.11879833,2188970.5286405818,21757868.194806498
386880.0,-15109795.917371824,2025094.0476866274,21756816.343877885
386940.0,-15134768.41113461,1861317.4126938125,21754099.44074434
387000.0,-15160305.23227443,1697654.9689101703,21749717.695253126
387060.0,-15186403.855100656,1534121.0335851558,21743671.44452241
387120.0,-15213061.596443446,1370729.8937716617,21735961.152915187
387180.0,-15240275.616081126,1207495.8041332609,21726587.412003513
387240.0,-15268042.91719578,1044432.9847572285,21715550.940523077
387300.0,-15296360.346856894,881555.6189734999,21702852.58431816
387360.0,-15325224.596533004,718877.851180489,21688493.316276923
387420.0,-15354632.202631306,556413.7846773523,21672474.23625712
387480.0,-15384579.547065062,394177.47950336104,21654796.571002092
387540.0,-15415062.857848765,232182.95028512878,21635461.674047202
387600.0,-15446078.209720884,70444.16409198102,21614471.025616664
387660.0,-15477621.524794172,-91024.96170111652,21591826.23251068
387720.0,-15509688.573233435,-252210.56154151307,21567529.027983107
387780.0,-15542274.97396046,-413098.8238175912,21541581.271609396
387840.0,-15575376.195386296,-573675.9929688359,21513984.949145023
387900.0,-15608987.556170452,-733928.3715855214,21484742.172374357
387960.0,-15643104.226007022,-893842.322498498,21453855.17894995
388020.0,-15677721.22643777,-1053404.2708589318,21421326.332222205
388080.0,-15712833.431691574,-1212600.7062063524,21387158.121059697
388140.0,-15748435.56955069,-1371418.1845270935,21351353.15965971
388200.0,-15784522.22224311,-1529843.330299363,21313914.187349506
388260.0,-15821087.827361269,-1687862.838528113,21274844.068377934
388320.0,-15858126.678806823,-1845463.4767667972,21234145.79169766
388380.0,-15895632.927761156,-2002632.0871270685,21191822.470737845
388440.0,-15933600.583681814,-2159355.588275257,21147877.34316745
388500.0,-15972023.515324295,-2315620.977416001,21102313.770649068
388560.0,-16010895.45178939,-2471415.3322623866,21055135.238583352
388620.0,-16050209.983595524,-2626725.812991882,21006345.35584403
388680.0,-16089960.563776355,-2781539.664188222,20955947.854503598
388740.0,-16130140.509002948,-2935844.2167689516,20903946.58954959
388800.0,-16170743.000730744,-3089626.889898262,20850345.53859154
388860.0,-16211761.086370898,-3242875.1928838585,20795148.801558666
388920.0,-16253187.680485923,-3395576.72705942,20738360.60038818
388980.0,-16295015.566009197,-3547719.187650498,20679985.278704423
389040.0,-16337237.395488527,-3699290.3656249046,20620027.301488623
389100.0,-16379845.692353116,-3850278.14952562,20558491.254739642
389160.0,-16422832.852204073,-4000670.527288301,20495381.84512528
389220.0,-16466191.14412793,-4150455.588041054,20430703.899624553
389280.0,-16509912.712033305,-4299621.523886402,20364462.36516084
389340.0,-16553989.576010088,-4448156.631666975,20296662.308225762
389400.0,-16598413.633711277,-4596049.314711513,20227308.914494157
389460.0,-16643176.661756849,-4743288.084564051,20156407.488429897
389520.0,-16688270.317159925,-4889861.562693888,20083963.45288259
389580.0,-16733686.138774447,-5035758.482186758,20009982.348675452
389640.0,-16779415.548764445,-5180967.689417298,19934469.834184036
389700.0,-16825449.854094587,-5325478.145701676,19857431.6849061
389760.0,-16871780.24804177,-5469278.928930513,19778873.793022577
389820.0,-16918397.811727375,-5612359.235182239,19698802.166949607
389880.0,-16965293.515669964,-5754708.380316293,19617222.93088172
389940.0,-17012458.221358396,-5896315.801545072,19534142.32432625
390000.0,-17059882.68284469,-6037171.058986006,19449566.701628923
390060.0,-17107557.548356604,-6177263.837192296,19363502.53149069
390120.0,-17155473.361929633,-6316583.946662139,19275956.396475945
390180.0,-17203620.565058194,-6455121.325326706,19186934.992511846
390240.0,-17251989.498365548,-6592866.040016286,19096445.12837927
390300.0,-17300570.403292157,-6729808.287904476,19004493.725194965
390360.0,-17349353.423802644,-6865938.397929768,18911087.815885197
390420.0,-17398328.60811029,-7001246.832195244,18816234.544650905
390480.0,-17447485.910419576,-7135724.187344669,18719941.166424315
390540.0,-17496815.192685753,-7269361.195916806,18622215.046317033
390600.0,-17546306.226391807,-7402148.727674941,18523063.659060057
390660.0,-17595948.69434192,-7534077.790914489,18422494.588434916
390720.0,-17645732.192471422,-7665139.533746157,18320515.526696928
390780.0,-17695646.231673032,-7795325.2453554785,18217134.273989916
390840.0,-17745680.239638805,-7924626.357237888,18112358.7377528
390900.0,-17795823.562717613,-8053034.444409988,18006196.932118
390960.0,-17846065.467787713,-8180541.226596528,17898656.977301504
391020.0,-17896395.144144412,-8307138.569391645,17789747.09898514
391080.0,-17946801.70540208,-8432818.48539637,17679475.62769048
391140.0,-17997274.191410378,-8557573.13533045,17567850.99814497
391200.0,-18047801.57018445,-8681394.829119101,17454881.748639923
391260.0,-18098372.739848763,-8804276.026954174,17340576.5203806
391320.0,-18148976.530593924,-8926209.340329718,17224944.056828566
391380.0,-18199601.70664642,-9047187.53305206,17107993.203036103
391440.0,-18250236.968251202,-9167203.522223445,16989732.90497277
391500.0,-18300870.953666102,-9286250.379199775,16870172.20884442
391560.0,-18351492.241168212,-9404321.33052225,16749320.260404421
391620.0,-18402089.351071853,-9521409.758822123,16627186.30425732
391680.0,-18452650.747757763,-9637509.203699093,16503779.683154838
391740.0,-18503164.841712907,-9752613.362573188,16379109.837284297
391800.0,-18553619.99158079,-9866716.091509208,16253186.303549957
391860.0,-18604004.506222002,-9979811.406014737,16126018.714846402
391920.0,-18654306.646784503,-10091893.48181038,15997616.799324922
391980.0,-18704514.628783196,-10202956.65557323,15867990.379652424
392040.0,-18754616.62418849,-10312995.42565282,15737149.372263273
392100.0,-18804600.763523832,-10422004.452759061,15605103.786603702
392160.0,-18854455.13797129,-10529978.56062333,15471863.72436914
392220.0,-18904167.801485073,-10636912.736631073,15337439.378734728
392280.0,-18953726.772912834,-10742802.13242719,15201841.033578314
392340.0,-19003120.038124133,-10847642.064492658,15065079.062696923
392400.0,-19052335.552145697,-10951428.0146938,14927163.929016119
392460.0,-19101361.24130302,-11054155.630803242,14788106.183792558
392520.0,-19150185.005368523,-11155820.726992423,14647916.465809586
392580.0,-19198794.719715055,-11256419.28429578,14506605.50056642
392640.0,-19247178.237474844,-11355947.451046951,14364184.099460434
392700.0,-19295323.391703572,-11454401.543286175,14220663.158962822
392760.0,-19343217.997549087,-11551778.045138791,14076053.659787914
392820.0,-19390849.854424257,-11648073.609165996,13930366.666055731
392880.0,-19438206.74818365,-11743285.05668659,13783613.324448254
392940.0,-19485276.453303866,-11837409.378069678,13635804.86335941
393000.0,-19532046.735067062,-11930443.732998788,13486952.592038698
393060.0,-19578505.351747032,-12022385.450707503,13337067.899728494
393120.0,-19624640.05679755,-12113232.030186247,13186162.254795233
393180.0,-19670438.601043217,-12202981.140359506,13034247.20385466
393240.0,-19715888.734871414,-12291630.620235097,12881334.370890642
393300.0,-19760978.210425608,-12379178.47902397,12727435.456368556
393360.0,-19805694.783799656,-12465622.896231223,12572562.236342322
393420.0,-19850026.21723261,-12550962.22171804,12416726.56155573
393480.0,-19893960.2813034,-12635194.97573488,12259940.356538115
393540.0,-19937484.75712525,-12718319.848925874,12102215.618694223
393600.0,-19980587.438539762,-12800335.702303657,11943564.41738837
393660.0,-20023256.134309635,-12881241.56719579,11783998.893023277
393720.0,-20065478.670309946,-12961036.645162206,11623531.256113235
393780.0,-20107242.89171781,-13039720.307883779,11462173.786351651
393840.0,-20148536.665199906,-13117292.097021304,11299938.831673853
393900.0,-20189347.88109725,-13193751.724046651,11136838.807313938
393960.0,-20229664.45560697,-13269099.07004471,10972886.194856737
394020.0,-20269474.332961038,-13343334.185486142,10808093.541284753
394080.0,-20308765.487601258,-13416457.28997184,10642473.458019642
394140.0,-20347525.926349998,-13488468.771948423,10476038.619959164
394200.0,-20385743.690576464,-13559369.188395562,10308801.764508856
394260.0,-20423406.858358532,-13629159.264483888,10140775.690609042
394320.0,-20460503.546638995,-13697839.893205104,9971973.257756922
394380.0,-20497021.91337629,-13765412.134973386,9802407.385024263
394440.0,-20532950.1596894,-13831877.217198456,9632091.050069926
394500.0,-20568276.53199658,-13897236.533829853,9461037.288148513
394560.0,-20602989.32414708,-13961491.644873697,9289259.191114007
394620.0,-20637076.879545808,-14024644.275881097,9116769.906419303
394680.0,-20670527.593271032,-14086696.31740819,8943582.636111109
394740.0,-20703329.914183818,-14147649.824448321,8769710.635821115
394800.0,-20735472.34702938,-14207507.015836807,8595167.21375253
394860.0,-20766943.45453009,-14266270.273627479,8419965.72966266
394920.0,-20797731.859469622,-14323942.142441452,8244119.593841634
394980.0,-20827826.246767607,-14380525.328788992,8067642.266086799
395040.0,-20857215.365544774,-14436022.700363535,7890547.254673827
395100.0,-20885888.031178236,-14490437.285308424,7712848.115323682
395160.0,-20913833.12734645,-14543772.271456618,7534558.450165643
395220.0,-20941039.60806338,-14596031.005543228,7355691.9066974055
395280.0,-20967496.499701522,-14647216.992391735,7176262.176740958
395340.0,-20993192.90300396,-14697333.89407243,6996282.995395435
395400.0,-21018117.99508438,-14746385.52903521,6815768.139986363
395460.0,-21042261.03141483,-14794375.871215701,6634731.429011689
395520.0,-21065611.347801525,-14841309.049114836,6453186.721084639
395580.0,-21088158.362347618,-14887189.344852353,6271147.913873341
395640.0,-21109891.577402845,-14932021.193194786,6088628.943037252
395700.0,-21130800.581499588,-14975809.180557279,5905643.781161173
395760.0,-21150875.05127567,-15018558.043979693,5722206.436685709
395820.0,-21170104.753382415,-15060272.670077797,5538330.952835066
395880.0,-21188479.546378575,-15100958.093968667,5354031.406542756
395940.0,-21205989.382609364,-15140619.498171605,5169321.907373555
396000.0,-21222624.31007065,-15179262.21148345,4984216.59644389
396060.0,-21238374.47425735,-15216891.707829894,4798729.645339184
396120.0,-21253230.119996127,-15253513.605092235,4612875.2550290385
396180.0,-21267181.593262166,-15289133.6639097,4426667.654779909
396240.0,-21280219.342979647,-15323757.786457555,4240121.101065754
396300.0,-21292333.922805246,-15357392.01520165,4053249.876476611
396360.0,-21303515.99289454,-15390042.531629767,3866068.2886246815
396420.0,-21313756.321651615,-15421715.65495856,3678590.669048846
396480.0,-21323045.78746052,-15452417.840818139,3490831.3721171394
396540.0,-21331375.380398933,-15482155.679913623,3302804.7739275224
396600.0,-21338736.203933675,-15510935.89666374,3114525.2712067105
396660.0,-21345119.476597793,-15538765.347816935,2926007.2802075814
396720.0,-21350516.53364857,-15565651.02104561,2737265.235604829
396780.0,-21354918.828706414,-15591600.033518316,2548313.5893894816
396840.0,-21358317.935374796,-15616619.630449736,2359166.8097616485
396900.0,-21360705.548839986,-15640717.18362987,2169839.380022096
396960.0,-21362073.487451065,-15663900.18993164,1980345.7974629744
397020.0,-21362413.694279604,-15686176.269797754,1790700.572256662
397080.0,-21361718.23865918,-15707553.165706413,1600918.2263443316
397140.0,-21359979.317703683,-15728038.740617113,1411013.2923231726
397200.0,-21357189.257804647,-15747640.976396352,1221000.3123327852
397260.0,-21353340.516107496,-15766367.97222301,1030893.8369408529
397320.0,-21348425.68196625,-15784227.942974279,840708.4240281172
397380.0,-21342437.47837609,-15801229.217592582,650458.6376725545
397440.0,-21335368.76338399,-15817380.237433353,460159.0470334529
397500.0,-21327212.531477407,-15832689.554593598,269824.2252347192
397560.0,-21317961.91494986,-15847165.830222731,79468.74824773779
397620.0,-21307610.185244013,-15860817.832814878,-110892.80622547225
397680.0,-21296150.754271537,-15873654.436483545,-301245.85987021204
397740.0,-21283577.17571025,-15885684.619218096,-491575.83487598866
397800.0,-21269883.146276984,-15896917.46112393,-681868.1550545434
397860.0,-21255062.50697719,-15907362.142645245,-872108.2469568009
397920.0,-21239109.244330693,-15917027.942770928,-1062281.5409904702
397980.0,-21222017.491573125,-15925924.237224467,-1252373.4725367287
398040.0,-21203781.529832765,-15934060.496638132,-1442369.4830671959
398100.0,-21184395.789283358,-15941446.28471083,-1632255.0212598145
398160.0,-21163854.850271884,-15948091.256350808,-1822015.5441146807
398220.0,-21142153.444421228,-15954005.155803693,-2011636.5180692747
398280.0,-21119286.455707856,-15959197.814765504,-2201103.42011251
398340.0,-21095248.92151405,-15963679.150481403,-2390401.7388987434
398400.0,-21070036.03365491,-15967459.163830055,-2579516.975860262
398460.0,-21043643.139379274,-15970547.937394733,-2768434.6463191425
398520.0,-21016065.742344625,-15972955.633521158,-2957140.280598132
398580.0,-20987299.50356658,-15974692.49236157,-3145619.4251302774
398640.0,-20957340.242341623,-15975768.829906715,-3333857.6435672427
398700.0,-20926183.937143356,-15976195.036005534,-3521840.517886638
398760.0,-20893826.726492666,-15975981.572372444,-3709553.6494976254
398820.0,-20860264.909800954,-15975138.970582996,-3896982.66034528
398880.0,-20825494.94818631,-15973677.83005866,-4084113.1940136
398940.0,-20789513.465262912,-15971608.816040363,-4270930.916826149
399000.0,-20752317.247903354,-15968942.657551192,-4457421.518945905
399060.0,-20713903.246973626,-15965690.14534915,-4643570.715472495
399120.0,-20674268.5780403,-15961862.129870262,-4829364.247538252
399180.0,-20633410.5220509,-15957469.519161552,-5014787.88340162
399240.0,-20591326.525986142,-15952523.276805084,-5199827.419539031
399300.0,-20548014.203484576,-15947034.41983333,-5384468.681734299
399360.0,-20503471.335438993,-15941014.016636282,-5568697.526166005
399420.0,-20457695.870565597,-15934473.184859661,-5752499.840492403
399480.0,-20410685.92594422,-15927423.089296488,-5935861.544933924
399540.0,-20362439.7875311,-15919874.93977033,-6118768.593353492
399600.0,-20312955.910642695,-15911839.989012426,-6301206.974333767
399660.0,-20262232.920411754,-15903329.530531429,-6483162.7122523105
399720.0,-20210269.612214748,-15894354.896477278,-6664621.86835329
399780.0,-20157064.952070136,-15884927.455499653,-6845570.541817468
399840.0,-20102618.077009223,-15875058.610599963,-7025994.870827862
399900.0,-20046928.295417443,-15864759.796978876,-7205881.033633762
399960.0,-19989995.087347243,-15854042.47987895,-7385215.249610827
400020.0,-19931818.10480194,-15842918.152423147,-7563983.780318362
400080.0,-19872397.171991214,-15831398.333448745,-7742172.930553415
400140.0,-19811732.28555733,-15819494.565338109,-7919769.049401289
400200.0,-19749823.614772353,-15807218.411846368,-8096758.531282995
400260.0,-19686671.501706697,-15794581.455925796,-8273127.816999035
