Время (с),Координата X (м),Координата Y (м),Координата Z (м)
352020.0,20883312.57757448,14493020.013290849,7714970.275004684
352080.0,20911256.94450505,14546373.323905002,7536688.753092655
352140.0,20938463.003712617,14598650.2382515,7357830.189802262
352200.0,20964919.780316923,14649854.2574217,7178408.2763427505
352260.0,20990616.37375819,14699989.039773542,6998436.747212812
352320.0,21015541.959797025,14749058.400065094,6817929.379150151
352380.0,21039685.792503096,14797066.308560655,6636899.990077628
352440.0,21063037.206230707,14844016.890111566,6455362.43804582
352500.0,21085585.617581822,14889914.423210429,6273330.620173009
352560.0,21107320.52735611,14934763.339019414,6090818.471581669
352620.0,21128231.522487625,14978568.220372546,5907839.964332276
352680.0,21148308.27796738,15021333.80075295,5724409.106353869
352740.0,21167540.55875182,15063064.963244455,5540539.940372189
352800.0,21185918.22165746,15103766.73945736,5356246.542834893
352860.0,21203431.2172398,15143444.308430318,5171543.022834105
352920.0,21220069.591658074,15182102.99550603,4986443.521026414
352980.0,21235823.488523755,15219748.271183547,4800962.208550544
353040.0,21250683.150733955,15256385.749945076,4615113.2859422555
353100.0,21264638.92228847,15292021.189058999,4428910.982047484
353160.0,21277681.2500902,15326660.487359174,4242369.552932737
353220.0,21289800.685729552,15360309.683999483,4055503.2807935537
353280.0,21300987.887250975,15392974.957185864,3868326.472861018
353340.0,21311233.62090302,15424662.622883862,3680853.4603060195
353400.0,21320528.762870014,15455379.1335041,3493098.597141921
353460.0,21328864.300986484,15485131.07656376,3305076.2591251936
353520.0,21336231.336432904,15513925.173326135,3116800.842654377
353580.0,21342621.085412946,15541768.277417516,2928286.7636675285
353640.0,21348024.88081214,15568667.37342176,2739548.456537856
353700.0,21352434.17383745,15594629.575452661,2550600.3729681945
353760.0,21355840.535637252,15619662.125704994,2361456.9808839844
353820.0,21358235.658901498,15643772.392984286,2172132.763324676
353880.0,21359611.3594426,15666967.871214349,1982642.2173344325
353940.0,21359959.577755194,15689256.17792525,1792999.8528512828
354000.0,21359272.380556293,15710645.052719198,1603220.1915954351
354060.0,21357541.962303795,15731142.355717335,1413317.7659565867
354120.0,21354760.646694813,15750756.065985164,1223307.1178803816
354180.0,21350920.888142094,15769494.279938933,1033202.7977540389
354240.0,21346015.27322894,15787365.209732305,843019.3632913727
354300.0,21340036.522142846,15804377.18162314,652771.37841705
354360.0,21332977.49008629,15820538.634322125,462473.4121506122
354420.0,21324831.168666005,15835858.117321774,272140.0374896091
354480.0,21315590.68725895,15850344.28920781,81785.83029294114
354540.0,21305249.314356223,15864005.915951643,-108574.63183660083
354600.0,21293800.458883416,15876851.869185463,-298926.7706695978
354660.0,21281237.671497777,15888891.1244598,-489256.00846751797
354720.0,21267554.64586216,15900132.759483578,-679547.7691001891
354780.0,21252745.21989517,15910585.952347154,-869787.4791632352
354840.0,21236803.376997236,15920259.979729036,-1059960.5690952763
354900.0,21219723.247252442,15929164.215086425,-1250052.4742949703
354960.0,21201499.108606625,15937308.126828847,-1440048.636237536
355020.0,21182125.38802,15944701.276477426,-1629934.5035910723
355080.0,21161596.662595972,15951353.316807402,-1819695.5333321737
355140.0,21139907.66068405,15957273.989976956,-2009317.191861086
355200.0,21117053.26295851,15962473.125640096,-2198784.9561160584
355260.0,21093028.5034711,15966960.639045924,-2388084.3146869177
355320.0,21067828.57067822,15970746.52912393,-2577200.7689279644
355380.0,21041448.808442947,15973840.876554748,-2766119.834069742
355440.0,21013884.71701041,15976253.841828573,-2954827.0403297073
355500.0,20985131.953957852,15977995.663289571,-3143307.934022098
355560.0,20955186.33511781,15979076.655168444,-3331548.0786660938
355620.0,20924043.835475378,15979507.205601936,-3519533.0560933603
355680.0,20891700.590038735,15979297.77464067,-3707248.4675535555
355740.0,20858152.89468291,15978458.892245432,-3894679.934818631
